"id","question","a1","a2","a3","a4","correct","section"
1,"Find the derivative of 4","4x","2","0","-4",3,1
2,"Find the derivative of 3x+5","3","8x","5","-3x-5",1,1
3,"Find the derivative of 3x<sup>2</sup>","-3x","9x<sup>2</sup>","3","6x",4,1
4,"Find the derivative of 5x<sup>2</sup>-3x-2","-5x+3","5x<sup>3</sup>-3x<sup>2</sup>-2x","10x<sup>2</sup>+3","10x-3",4,1
5,"Find the derivative of -7x<sup>2</sup>+6","-7x+6x<sup>2</sup>","-14x","6","7x",2,1
6,"Find the derivative of <sup>5</sup>&frasl;<sub>2</sub>x<sup>3</sup>+13","15x","10x<sup>2</sup>+13","<sup>15</sup>&frasl;<sub>2</sub>x<sup>2</sup>","<sup>x</sup>&frasl;<sub>2</sub>+13",3,1
7,"Find the derivative of 4-6x<sup>2</sup>+8x<sup>3</sup>/3","4x-6x<sup>3</sup>+8x<sup>4</sup>/3","4+12x+24x<sup>2</sup>","8x<sup>2</sup>-12x","-12x+8x<sup>2</sup>/3",3,1
8,"Find the derivative of 16.5x<sup>4</sup>-4x+3.25x<sup>3</sup>","66x<sup>2</sup>+10x-4","16.5x<sup>3</sup>-9.75x<sup>2</sup>-4x","66x<sup>3</sup>+9.75x<sup>2</sup>-4","16.5x<sup>4</sup>+4x-3.25x<sup>2</sup>",3,1
9,"Find the derivative of x<sup>5</sup>-12x<sup>4</sup>+3x<sup>3</sup>+6x<sup>2</sup>-6x-3","5x<sup>4</sup>-48x<sup>3</sup>+9x<sup>2</sup>+12x-6","4x<sup>5</sup>-36x<sup>4</sup>+6x<sup>3</sup>+12x-6x+3","5x<sup>4</sup>+48x<sup>2</sup>+9x<sup>2</sup>+12","x<sup>5</sup>-48x<sup>3</sup>+9x-6",1,1
10,"Find the derivative of <sup>3</sup>&frasl;<sub>4</sub>x<sup>5</sup>+<sup>2</sup>&frasl;<sub>3</sub>x<sup>4</sup>+4x<sup>2</sup>-36x","<sup>15</sup>&frasl;<sub>4</sub>x<sup>4</sup>+8x<sup>3</sup>/3+8x-36","<sup>5</sup>&frasl;<sub>3</sub>x<sup>4</sup>-36","<sup>15</sup>&frasl;<sub>4</sub>x<sup>4</sup>+8x<sup>3</sup>+8x-36x","-<sup>5</sup>&frasl;<sub>4</sub>x<sup>4</sup>-<sup>8</sup>&frasl;<sub>3</sub>x<sup>3</sup>+8x<sup>2</sup>",1,1
